City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,13.82000000000005,65,48,3.14,AU,2024-07-26 19:29:48
1,grytviken,-54.2811,-36.5092,-0.2699999999999818,96,100,1.2,GS,2024-07-26 19:29:48
2,kodiak,57.79,-152.4072,12.730000000000018,100,100,1.54,US,2024-07-26 19:29:48
3,whitehorse,60.7161,-135.0538,16.08000000000004,67,20,6.71,CA,2024-07-26 19:29:48
4,ziway,7.9333,38.7167,20.120000000000005,79,100,4.76,ET,2024-07-26 19:29:48
5,labrador city,52.9463,-66.9114,18.99000000000001,35,0,2.24,CA,2024-07-26 19:29:48
6,ola,59.5833,151.2833,11.430000000000007,60,4,4.77,RU,2024-07-26 19:29:48
7,iqaluit,63.7506,-68.5145,6.5,70,75,12.86,CA,2024-07-26 19:29:48
8,port-aux-francais,-49.35,70.2167,1.1800000000000068,81,78,19.01,TF,2024-07-26 19:29:48
9,manistee,44.2445,-86.3242,24.450000000000045,59,0,4.12,US,2024-07-26 19:29:48
10,waitangi,-43.9535,-176.5597,7.680000000000007,83,2,2.96,NZ,2024-07-26 19:29:49
11,akrehamn,59.2667,5.1833,16.150000000000034,77,20,4.12,NO,2024-07-26 19:29:49
12,puerto natales,-51.7236,-72.4875,2.25,87,75,3.6,CL,2024-07-26 19:29:49
13,lerwick,60.1545,-1.1494,14.0,85,50,5.96,GB,2024-07-26 19:29:49
14,qaqortoq,60.7167,-46.0333,5.360000000000014,74,100,4.72,GL,2024-07-26 19:29:49
15,katsuren-haebaru,26.3369,127.8719,28.960000000000036,87,75,5.66,JP,2024-07-26 19:29:49
16,papatowai,-46.5619,169.4708,11.379999999999995,82,100,1.8,NZ,2024-07-26 19:29:49
17,arkhangel'sk,64.5401,40.5433,15.060000000000002,67,0,3.0,RU,2024-07-26 19:29:49
18,tubarjal,30.4999,38.216,32.24000000000001,29,0,9.01,SA,2024-07-26 19:29:49
19,saint-pierre,-21.3393,55.4781,20.77000000000004,52,20,2.06,RE,2024-07-26 19:29:49
20,vilhena,-12.7406,-60.1458,33.120000000000005,31,0,3.6,BR,2024-07-26 19:29:49
21,kayangel,8.0823,134.7173,28.010000000000048,79,100,7.17,PW,2024-07-26 19:29:50
22,ilulissat,69.2167,-51.1,4.010000000000048,93,75,2.57,GL,2024-07-26 19:29:50
23,manokwari,-0.8667,134.0833,26.110000000000014,80,57,0.97,ID,2024-07-26 19:29:50
24,blackmans bay,-43.0167,147.3167,8.710000000000036,79,100,0.89,AU,2024-07-26 19:29:50
25,punta arenas,-53.15,-70.9167,2.9600000000000364,75,75,11.32,CL,2024-07-26 19:29:50
26,aripuana,-9.1667,-60.6333,37.379999999999995,18,0,1.82,BR,2024-07-26 19:29:50
27,korla,41.7597,86.1469,28.03000000000003,33,8,5.9,CN,2024-07-26 19:29:50
28,bethel,41.3712,-73.414,27.379999999999995,50,0,5.66,US,2024-07-26 19:29:50
29,banda aceh,5.5577,95.3222,27.360000000000014,77,100,5.44,ID,2024-07-26 19:29:50
30,remire-montjoly,4.9167,-52.2667,22.02000000000004,100,75,2.57,GF,2024-07-26 19:29:51
31,sao gabriel da cachoeira,-0.1303,-67.0892,28.890000000000043,74,40,1.54,BR,2024-07-26 19:29:51
32,sitia,35.2,26.0986,29.430000000000007,70,0,7.0,GR,2024-07-26 19:29:51
33,albany,42.6001,-73.9662,26.700000000000045,47,1,0.89,US,2024-07-26 19:29:51
34,keflavik,64.0049,-22.5624,10.240000000000009,100,100,6.69,IS,2024-07-26 19:29:51
35,hawaiian paradise park,19.5933,-154.9731,24.77000000000004,83,100,3.6,US,2024-07-26 19:29:51
36,koungheul,13.9833,-14.8,29.610000000000014,70,98,3.63,SN,2024-07-26 19:29:51
37,muynoq,43.7683,59.0214,25.310000000000002,31,0,4.07,UZ,2024-07-26 19:29:51
38,ribeira grande,38.5167,-28.7,25.220000000000027,88,75,6.17,PT,2024-07-26 19:25:20
39,isafjordur,66.0755,-23.124,7.730000000000018,91,99,2.83,IS,2024-07-26 19:29:51
40,castuera,38.732,-5.5439,35.22000000000003,13,0,3.47,ES,2024-07-26 19:29:52
41,ushuaia,-54.8,-68.3,1.8100000000000023,87,75,9.77,AR,2024-07-26 19:29:52
42,menominee,45.1078,-87.6143,24.04000000000002,53,0,5.14,US,2024-07-26 19:29:52
43,bastia,42.6667,9.3333,27.33000000000004,67,0,1.03,FR,2024-07-26 19:29:52
44,port elizabeth,-33.918,25.5701,13.050000000000011,87,0,1.54,ZA,2024-07-26 19:29:52
45,irati,-25.4672,-50.6511,22.77000000000004,49,100,0.97,BR,2024-07-26 19:29:52
46,sola,-13.8833,167.55,25.180000000000007,63,49,10.62,VU,2024-07-26 19:29:52
47,caraubas,-5.7925,-37.5567,33.18000000000001,27,19,6.82,BR,2024-07-26 19:29:52
48,badger,64.8,-147.5333,19.629999999999995,78,40,2.57,US,2024-07-26 19:29:52
49,tiksi,71.6872,128.8694,5.1200000000000045,75,61,1.33,RU,2024-07-26 19:29:53
50,bachi-yurt,43.22,46.2,22.74000000000001,85,100,0.38,RU,2024-07-26 19:29:53
51,sanjwal,33.7608,72.4336,35.860000000000014,46,0,3.69,PK,2024-07-26 19:29:53
52,kattivakkam,13.2167,80.3167,30.58000000000004,70,100,6.83,IN,2024-07-26 19:29:53
53,santa ana de yacuma,-13.75,-65.4333,34.97000000000003,36,20,1.54,BO,2024-07-26 19:29:53
54,faxinal,-24.0003,-51.3194,23.640000000000043,36,100,3.04,BR,2024-07-26 19:27:30
55,lebu,-37.6167,-73.65,9.75,59,5,5.67,CL,2024-07-26 19:29:53
56,stanley,54.868,-1.6985,15.450000000000045,67,0,4.12,GB,2024-07-26 19:29:53
57,port saint john's,-31.6229,29.5448,18.189999999999998,67,80,1.52,ZA,2024-07-26 19:29:53
58,ulladulla,-35.35,150.4667,7.7000000000000455,66,0,2.53,AU,2024-07-26 19:29:54
59,constantia,44.1833,28.65,21.379999999999995,68,0,3.57,RO,2024-07-26 19:25:12
60,saint-louis,16.3333,-15.0,33.80000000000001,47,90,7.92,SN,2024-07-26 19:29:54
61,arkalyk,50.2486,66.9114,17.420000000000016,62,0,2.46,KZ,2024-07-26 19:29:54
62,iquique,-20.2208,-70.1431,17.02000000000004,76,26,3.03,CL,2024-07-26 19:29:44
63,charters towers,-20.1,146.2667,15.010000000000048,96,89,2.99,AU,2024-07-26 19:29:54
64,mantua,45.1667,10.7833,27.810000000000002,70,3,0.89,IT,2024-07-26 19:29:54
65,cabo san lucas,22.8909,-109.9124,34.170000000000016,46,0,4.12,MX,2024-07-26 19:25:51
66,invercargill,-46.4,168.35,10.010000000000048,96,100,0.74,NZ,2024-07-26 19:29:54
67,wapi pathum,15.8452,103.3768,27.960000000000036,87,100,6.26,TH,2024-07-26 19:29:54
68,cabedelo,-6.9811,-34.8339,27.370000000000005,77,16,7.55,BR,2024-07-26 19:29:55
69,bredasdorp,-34.5322,20.0403,9.689999999999998,86,0,2.93,ZA,2024-07-26 19:29:55
70,souillac,-20.5167,57.5167,21.210000000000036,83,20,0.51,MU,2024-07-26 19:29:55
71,lianran,24.9227,102.485,22.30000000000001,81,98,0.8,CN,2024-07-26 19:29:55
72,mejit,10.2753,170.8646,28.04000000000002,82,100,8.35,MH,2024-07-26 19:29:55
73,iskateley,67.6803,53.1512,8.240000000000009,77,100,4.19,RU,2024-07-26 19:27:10
74,aleksandrovsk-sakhalinskiy,50.8975,142.1561,13.970000000000027,89,7,4.9,RU,2024-07-26 19:29:55
75,aasiaat,68.7098,-52.8699,2.2700000000000387,95,100,2.27,GL,2024-07-26 19:29:55
76,olonkinbyen,70.9221,-8.7187,5.050000000000011,98,100,4.55,SJ,2024-07-26 19:29:55
77,enewetak,11.3474,162.3373,28.650000000000034,79,100,9.36,MH,2024-07-26 19:29:55
78,yurimaguas,-5.9,-76.0833,33.09000000000003,58,20,2.06,PE,2024-07-26 19:29:56
79,sena madureira,-9.0656,-68.6569,38.06,24,6,1.09,BR,2024-07-26 19:29:56
80,oranjemund,-28.55,16.4333,12.879999999999995,83,0,0.63,NA,2024-07-26 19:29:56
81,hammerfest,70.6634,23.6821,22.25,64,0,2.06,NO,2024-07-26 19:29:56
82,quellon,-43.1167,-73.6167,8.860000000000014,80,68,7.29,CL,2024-07-26 19:29:56
83,adamstown,-25.066,-130.1015,20.28000000000003,72,100,5.83,PN,2024-07-26 19:29:56
84,thompson,55.7435,-97.8558,25.090000000000032,83,100,3.6,CA,2024-07-26 19:29:56
85,bilibino,68.0546,166.4372,2.890000000000043,74,100,2.57,RU,2024-07-26 19:29:56
86,longyearbyen,78.2186,15.6401,9.910000000000025,87,75,2.06,SJ,2024-07-26 19:29:56
87,paracuru,-3.41,-39.0306,27.28000000000003,65,100,6.84,BR,2024-07-26 19:29:57
88,uturoa,-16.7333,-151.4333,25.310000000000002,66,31,7.37,PF,2024-07-26 19:29:57
89,polyarnyy,69.1989,33.4478,17.83000000000004,72,9,1.51,RU,2024-07-26 19:29:57
90,vernon,50.2581,-119.2691,23.220000000000027,39,0,1.03,CA,2024-07-26 19:28:02
91,todos santos,23.45,-110.2167,26.910000000000025,74,69,4.53,MX,2024-07-26 19:29:57
92,hermanus,-34.4187,19.2345,11.560000000000002,82,0,5.81,ZA,2024-07-26 19:27:06
93,tazovsky,67.4667,78.7,9.970000000000027,95,90,2.89,RU,2024-07-26 19:29:58
94,avarua,-21.2078,-159.775,25.03000000000003,78,20,7.2,CK,2024-07-26 19:29:58
95,kalifornsky,60.4183,-151.29,12.939999999999998,99,100,6.69,US,2024-07-26 19:29:58
96,hadibu,12.65,54.0333,26.010000000000048,78,100,9.24,YE,2024-07-26 19:29:58
97,petropavlovsk-kamchatsky,53.0452,158.6483,11.78000000000003,93,92,0.61,RU,2024-07-26 19:29:58
98,azangaro,-14.9167,-70.2167,15.650000000000034,20,0,1.67,PE,2024-07-26 19:29:58
99,tura,25.5198,90.2201,26.100000000000023,96,100,2.7,IN,2024-07-26 19:27:35
